id,abbreviation,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,year,wins,games,playoff_wins,playoff_games
DAL 2020,DAL,1849,363,2729,6772,0.461,3124,1787,0.779,1392,75,18175,Dallas Mavericks,791,1794,311,2625,6868,0.458,3143,1578,0.76,1200,782,1601,8405,525,2615,0.351,919,3407,896,4253,0.523,2224,1462,8776,1,460,3095,0.367,1136,3520,953,3677,0.541,1988,2020,43,75,2,6
MIL 2020,MIL,1889,429,3083,6638,0.476,3160,1800,0.742,1336,73,17595,Milwaukee Bucks,691,1764,326,2651,6862,0.414,2843,1551,0.787,1221,693,1586,7927,538,2871,0.355,1020,3344,1030,3991,0.457,1823,1431,8663,2,526,2840,0.355,1007,3774,1102,3798,0.567,2153,2020,56,73,5,10
POR 2020,POR,1525,451,2599,6749,0.463,3122,1632,0.804,1312,74,17835,Portland Trail Blazers,754,1840,364,2617,6781,0.456,3090,1828,0.771,1410,852,1488,8593,502,2619,0.383,1003,3469,953,4162,0.501,2087,1606,8508,3,465,2525,0.377,952,3353,946,4224,0.514,2170,2020,36,75,1,5
HOU 2020,HOU,1557,371,2484,6512,0.451,2936,1876,0.791,1484,72,17380,Houston Rockets,704,1819,354,2645,6589,0.462,3045,1706,0.761,1299,803,1515,8269,578,2522,0.349,880,3448,1163,4067,0.532,2165,1566,8482,4,627,3261,0.345,1126,3188,1057,3251,0.557,1810,2020,44,72,5,12
LAC 2020,LAC,1708,338,2664,6425,0.466,2992,1894,0.791,1498,72,17380,Los Angeles Clippers,767,1709,338,2491,6494,0.438,2846,1766,0.756,1335,771,1647,7913,540,2566,0.345,886,3262,1013,3928,0.499,1960,1594,8377,5,511,2410,0.371,895,3431,1051,4015,0.522,2097,2020,49,72,7,13
NOP 2020,NOP,1932,358,2551,6598,0.465,3065,1687,0.729,1229,72,17430,New Orleans Pelicans,797,1763,348,2501,6611,0.465,3077,1775,0.789,1400,727,1519,8434,615,2438,0.361,880,3228,1045,4173,0.526,2197,1524,8341,6,539,2656,0.37,982,3348,1181,3942,0.528,2083,2020,30,72,0,0
PHO 2020,PHO,1987,290,2465,6429,0.468,3006,1740,0.834,1451,73,17595,Phoenix Suns,712,1723,401,2497,6378,0.472,3011,1787,0.788,1408,664,1653,8278,576,2335,0.363,848,3161,1139,4043,0.535,2163,1609,8294,7,559,2320,0.358,831,3177,1077,4109,0.529,2175,2020,34,73,0,0
WAS 2020,WAS,1801,309,2295,6544,0.457,2990,1770,0.788,1394,72,17355,Washington Wizards,732,1814,363,2572,6363,0.488,3104,1890,0.778,1470,753,1601,8574,541,2386,0.376,896,3325,1163,3977,0.555,2208,1634,8238,8,574,2345,0.368,864,3027,1020,4199,0.506,2126,2020,25,72,0,0
MEM 2020,MEM,1965,398,2643,6634,0.468,3106,1589,0.763,1212,73,17570,Memphis Grizzlies,754,1814,386,2519,6592,0.45,2964,1828,0.782,1430,756,1474,8300,585,2580,0.365,942,3275,1080,4012,0.504,2022,1546,8222,9,576,2297,0.347,798,3397,1113,4337,0.532,2308,2020,34,74,0,0
BOS 2020,BOS,1655,406,2549,6448,0.461,2971,1668,0.801,1336,72,17430,Boston Celtics,768,1613,396,2449,6268,0.441,2764,1761,0.767,1350,743,1487,7729,514,2504,0.34,851,3192,1097,3764,0.508,1913,1553,8183,10,595,2487,0.364,905,3317,995,3961,0.522,2066,2020,48,72,10,17
